,number,auprc,latency,datetime_start,datetime_complete,duration,params_alpha,params_gamma,params_lambda,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state,experiment
26,26,0.7134843707032185,0.7201962471008301,2021-06-15 17:14:25.579200,2021-06-15 17:14:42.475585,0 days 00:00:16.896385,9.03599461608234,2.3485900340960507e-05,6.3002099571622905,0.004699554029444587,7.511882343735027,1,8.955604275809954,327,0.8889077880672078,COMPLETE,Random
27,27,0.8084146539075321,1.047184944152832,2021-06-15 17:14:42.476478,2021-06-15 17:15:43.760343,0 days 00:01:01.283865,5.232823958494793,1.2671677387462482e-05,0.24486374620881657,1.956534801818186e-05,1.590490857846002,4,6.27409957730191,443,0.6975303982314212,COMPLETE,Random
28,28,0.8023756894586531,0.9757070541381836,2021-06-15 17:15:43.761402,2021-06-15 17:16:22.429263,0 days 00:00:38.667861,0.02227123194148195,0.00024482883163055733,4.574798396769284,9.857859958524537e-06,9.180029374807958,6,4.093691402214953,425,0.36920204347961294,COMPLETE,Random
29,29,0.7863276297258601,0.5299069881439209,2021-06-15 17:16:22.430252,2021-06-15 17:16:25.653735,0 days 00:00:03.223483,8.044619600242127,5.641142563923169,9.710922437449677,0.006845432214852757,0.5949884534623462,18,1.3238463408985504,12,0.9529941122417493,COMPLETE,Random
30,30,0.8123690063068413,0.5506582260131836,2021-06-15 17:16:25.654733,2021-06-15 17:16:29.433064,0 days 00:00:03.778331,3.338304382320174,4.084225646382377,7.485763499891495,0.001191499312466711,7.239164664628493,7,5.610077876080898,16,0.8768067001203268,COMPLETE,Random
31,31,0.7880121802660074,0.8744919300079346,2021-06-15 17:16:29.434004,2021-06-15 17:17:19.900224,0 days 00:00:50.466220,8.90153980696157,5.664221311530831e-05,7.756294854574088,0.0010679571691950595,6.749055656359845,10,6.903767701337942,334,0.8001257169774647,COMPLETE,Random
32,32,0.815391175250599,0.7030849456787109,2021-06-15 17:17:19.901040,2021-06-15 17:17:37.765123,0 days 00:00:17.864083,5.093672554445721,3.0949859609089704e-05,1.161945993322785,0.00011994290923279786,2.383138149049784,5,1.0072673492862732,97,0.7390264369031403,COMPLETE,Random
33,33,0.7936440992272074,0.906074047088623,2021-06-15 17:17:37.766040,2021-06-15 17:18:26.101823,0 days 00:00:48.335783,3.674013456390562,1.175195122601344e-06,1.0083022379259376,9.994119076047941e-06,5.488017712184173,14,7.681123199253437,339,0.6632787397840981,COMPLETE,Random
34,34,0.8224589770283762,0.6765990257263184,2021-06-15 17:18:26.102677,2021-06-15 17:18:45.529793,0 days 00:00:19.427116,2.3001157487524204,0.0018382874781591402,1.0107328623413558,6.306071376620031e-06,5.360414490231303,13,4.239685379755428,101,0.9252737195234213,COMPLETE,Random
35,35,0.7404839052456735,0.5898480415344238,2021-06-15 17:18:45.530668,2021-06-15 17:18:51.918854,0 days 00:00:06.388186,4.112296832422463,0.00022308048842762824,5.847664596648966,0.004956156082897714,9.317596169495378,1,6.819351770584731,168,0.383275945773651,COMPLETE,Random
