,number,auprc,latency,datetime_start,datetime_complete,duration,params_alpha,params_gamma,params_lambda,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_subsample,state,experiment
39,39,0.8224589770283762,0.9297471046447754,2021-06-15 16:12:28.339556,2021-06-15 16:13:17.521338,0 days 00:00:49.181782,7.108446311258126,0.09350616162080798,1.1967101388410182,0.004696283087297441,5.108016972115599,8,1.9207312302523418,331,0.6361436047884838,COMPLETE,MOTPE
40,40,0.837606732952923,0.5510640144348145,2021-06-15 16:13:17.522280,2021-06-15 16:13:22.767193,0 days 00:00:05.244913,4.091231560582348,0.10456611778594326,0.4401758689513704,0.9810742810008084,5.026494393121953,4,1.3385591498225704,34,0.6001927204490843,COMPLETE,MOTPE
41,41,0.845793901251926,0.5597021579742432,2021-06-15 16:13:22.768074,2021-06-15 16:13:32.589530,0 days 00:00:09.821456,5.99998005325397,0.0001165954287505327,1.9159808418446154,0.10460732853917405,3.4919071488096516,18,1.0633805906346496,43,0.6920849560206008,COMPLETE,MOTPE
42,42,0.8743263992386214,0.6636991500854492,2021-06-15 16:13:32.590374,2021-06-15 16:13:50.627306,0 days 00:00:18.036932,5.825266095737335,0.00019630970176850134,1.9805639283786893,0.1104329487460839,7.4417828620932855,18,1.0160594667543907,72,0.6973340921284337,COMPLETE,MOTPE
43,43,0.7974754044427059,0.45714378356933594,2021-06-15 16:13:50.628149,2021-06-15 16:13:51.631106,0 days 00:00:01.002957,5.2122007984538925,0.0007454143435074407,1.4446663660026244,0.07234514467229793,6.0901067090089125,17,4.467416408503999,1,0.636010306810141,COMPLETE,MOTPE
44,44,0.8533304513599311,0.6441071033477783,2021-06-15 16:13:51.631919,2021-06-15 16:14:04.126153,0 days 00:00:12.494234,8.686468866720011,2.5704888502989793e-05,2.8478111288035164,0.2242108199606276,3.3798664649721104,14,2.424507639478656,89,0.5385246023252355,COMPLETE,MOTPE
45,45,0.860114711875535,0.6274740695953369,2021-06-15 16:14:04.127022,2021-06-15 16:14:15.658505,0 days 00:00:11.531483,7.453328231867191,0.006686845280015784,4.590986356826336,0.4568286312119418,6.771699427744109,19,1.6131649500896046,55,0.748808568489743,COMPLETE,MOTPE
46,46,0.8013924923471101,0.51202392578125,2021-06-15 16:14:15.659391,2021-06-15 16:14:19.762018,0 days 00:00:04.102627,5.95365759378865,9.736433198903479e-05,2.0545427982178466,0.027361910303768906,6.287847925260726,16,2.00298811709198,29,0.44431587378701953,COMPLETE,MOTPE
47,47,0.8075675663677464,0.4663510322570801,2021-06-15 16:14:19.762886,2021-06-15 16:14:20.936575,0 days 00:00:01.173689,7.972212261993557,2.9660330295680936e-05,1.084436968205068,0.21562432991974462,4.284477352068086,13,3.0056306855773673,2,0.6633210031482458,COMPLETE,MOTPE
48,48,0.8243126853165124,0.588454008102417,2021-06-15 16:14:20.937428,2021-06-15 16:14:45.875342,0 days 00:00:24.937914,9.611212689252522,9.844870454994531,1.5999673267871237,0.12351804721583384,5.459382647352995,11,3.8624007354879986,143,0.7867066031650689,COMPLETE,MOTPE
49,49,0.7965080431501681,0.5732910633087158,2021-06-15 16:14:45.876207,2021-06-15 16:14:55.968530,0 days 00:00:10.092323,6.655879567057695,0.0006072409280473909,3.7593496743166694,0.014885172544339638,3.8270856627983467,15,8.540689326872185,83,0.5490996214542744,COMPLETE,MOTPE
50,50,0.8487066247104518,0.5561540126800537,2021-06-15 17:31:57.776010,2021-06-15 17:32:04.986780,0 days 00:00:07.210770,7.294226185051823,7.080677801160575e-05,2.6116557902346846,0.6447269895322562,5.041423378453658,18,1.425841735434426,44,0.6110723480162455,COMPLETE,MOTPE
51,51,0.8348272428374309,0.6011719703674316,2021-06-15 17:32:04.987607,2021-06-15 17:32:10.439764,0 days 00:00:05.452157,7.228138714504553,1.6355666905078525,3.15432756737325,0.8196710508719228,4.869848231564491,19,1.3146569462073925,27,0.5994655324013085,COMPLETE,MOTPE
52,52,0.8604343211674389,0.5517938137054443,2021-06-15 17:32:10.440925,2021-06-15 17:32:18.476178,0 days 00:00:08.035253,8.16445134673819,0.0017439070416490174,0.5600205820577342,0.582568872231276,5.162677737447048,17,2.4693145820245155,59,0.5822045380562277,COMPLETE,MOTPE
53,53,0.7749070807880467,0.5039200782775879,2021-06-15 17:32:18.477020,2021-06-15 17:32:19.490183,0 days 00:00:01.013163,8.186283570929682,0.060092382446954896,0.5571313654653485,0.35832776155285656,5.755682461711781,17,2.5003437094125878,1,0.47707471479001756,COMPLETE,MOTPE
54,54,0.8424332268386198,0.5162999629974365,2021-06-15 17:32:19.490986,2021-06-15 17:32:23.486408,0 days 00:00:03.995422,8.871005658212646,0.007134802786446843,0.5232748351131669,0.5456622130867208,6.479992369942932,16,5.053928920110196,23,0.5841740968570809,COMPLETE,MOTPE
55,55,0.8237956366480645,0.6340060234069824,2021-06-15 17:32:23.487311,2021-06-15 17:32:39.985593,0 days 00:00:16.498282,8.850531093613277,0.0018216955906067873,1.0746416992752068,0.05355210266733354,6.976190388135965,16,5.015853087922829,117,0.5657791265326424,COMPLETE,MOTPE
56,56,0.8495651518587863,0.6007890701293945,2021-06-15 17:32:39.986548,2021-06-15 17:32:49.222451,0 days 00:00:09.235903,8.29373742892841,0.006388970338938305,0.5807205375046881,0.5057702116558208,4.228905714429896,17,4.282463612720645,66,0.6349719651444989,COMPLETE,MOTPE
57,57,0.8462265815524234,0.6787149906158447,2021-06-15 17:32:49.223322,2021-06-15 17:33:02.287012,0 days 00:00:13.063690,9.430088701980448,0.015553014717469078,0.03459448497198503,0.22499404830750536,7.6380046048120125,19,1.7567564198983152,96,0.47828631855535686,COMPLETE,MOTPE
58,58,0.8217087808640071,0.6889011859893799,2021-06-15 17:33:02.287887,2021-06-15 17:33:29.319636,0 days 00:00:27.031749,7.724343703312465,0.16870983431909153,2.2692028887580884,0.0035703107371226244,8.377932776591924,14,2.9905435522367556,170,0.7300129684981621,COMPLETE,MOTPE
59,59,0.826360436166287,0.4840528964996338,2021-06-15 17:33:29.320509,2021-06-15 17:33:32.652341,0 days 00:00:03.331832,6.712415411586193,0.0013808526841055623,1.5749419263985969,0.0009222088171813094,6.012329843244414,15,2.2385254768678147,15,0.852137116627008,COMPLETE,MOTPE
60,60,0.8178111023223922,0.46881914138793945,2021-06-15 17:33:32.653191,2021-06-15 17:33:34.477564,0 days 00:00:01.824373,7.007936324665519,0.00019240562862438493,1.2399922230415985,4.8976410104355884e-05,5.286263245948754,17,1.7640060542619351,6,0.7680368134107243,COMPLETE,MOTPE
61,61,0.8143171620287079,0.568842887878418,2021-06-15 17:33:34.478355,2021-06-15 17:33:43.541001,0 days 00:00:09.062646,6.874716935424875,0.004087225019578719,0.44309713835124553,0.00024093306376785884,4.617336920057432,16,3.5923975450431267,56,0.684317742351868,COMPLETE,MOTPE
62,62,0.8424332268386198,0.5068070888519287,2021-06-15 17:33:43.541838,2021-06-15 17:33:48.052445,0 days 00:00:04.510607,7.999762180788245,0.023815638293854684,1.2299240775503473,0.42638262342770317,6.494310059244167,18,2.8550109641681782,23,0.7271604440046076,COMPLETE,MOTPE
63,63,0.8598890384984623,0.5618350505828857,2021-06-15 17:33:48.053303,2021-06-15 17:33:54.193350,0 days 00:00:06.140047,6.147637086997163,0.031113660911509838,1.3827038526946827,0.17989001133406146,4.421297279054112,18,2.8306586851264353,32,0.7289450951783317,COMPLETE,MOTPE
64,64,0.8199460677866314,0.47754693031311035,2021-06-15 17:33:54.194356,2021-06-15 17:33:55.468160,0 days 00:00:01.273804,7.830449472068956,0.011314821759408768,2.575917328670353,0.34461261340585225,7.0943213285107145,20,2.2550124507063796,3,0.6478111813877613,COMPLETE,MOTPE
65,65,0.8391227117449156,0.5249080657958984,2021-06-15 17:33:55.468962,2021-06-15 17:34:08.065692,0 days 00:00:12.596730,7.475771699134106,5.505549142742706,0.8476028261702224,0.6978698665865459,5.825708542680868,17,1.8220786545158998,72,0.6179669783278453,COMPLETE,MOTPE
66,66,0.7908045268083539,0.6060748100280762,2021-06-15 17:34:08.066557,2021-06-15 17:34:24.292820,0 days 00:00:16.226263,8.289471094339335,0.0010354223553884845,1.6145807163498456,4.526299267085609e-05,5.348943519923983,19,3.3399490779547447,103,0.7092193375849672,COMPLETE,MOTPE
67,67,0.8382329973882237,0.5801160335540771,2021-06-15 17:34:24.293736,2021-06-15 17:34:35.861717,0 days 00:00:11.567981,6.796888799121049,0.2392662195320141,2.081091138166337,0.07889393131568684,4.885946159605322,18,1.4718673669185447,53,0.7955645899587382,COMPLETE,MOTPE
68,68,0.8165281614396693,0.5036118030548096,2021-06-15 17:34:35.862641,2021-06-15 17:34:39.436885,0 days 00:00:03.574244,6.299684518873256,1.03792277347831,1.1794160196395103,1.3000958708624938e-05,2.648265992806781,17,4.050204061034728,17,0.7657736329583724,COMPLETE,MOTPE
69,69,0.8529543065637304,0.5833511352539062,2021-06-15 17:34:39.437731,2021-06-15 17:34:48.393239,0 days 00:00:08.955508,9.964463908173567,0.0005596132356825215,2.84242574694481,0.3237968198778908,6.398114543564266,19,5.8053127847865955,77,0.6674790462239404,COMPLETE,MOTPE
70,70,0.8487487323328676,0.4820849895477295,2021-06-15 17:34:48.394112,2021-06-15 17:34:50.598978,0 days 00:00:02.204866,6.68002003351255,0.020277124203575803,3.170746997490064,0.9820372583686358,5.856393020328213,20,3.2688789722552656,11,0.5634179205205418,COMPLETE,MOTPE
